Переменная|Англ.|Русс.|Перевод
frontend.views.layouts.main.var8|Failed to send Request|Заявка не отправлена|Cererea nu a fost expediată
Фолклендские острова (Мальвинские)|Falkland Islands (Malvinas)|Фолклендские острова (Мальвинские)|Insulele Falkland (Malvine)
Фарерские острова|Faroe islands|Фарерские острова|Insulele feroe
frontend.views.vendor.feb|February|Февраль|Februarie
frontend.views.request.vendors_responses|Feedback from suppliers|Отклики поставщиков|Feedback-ul furnizorilor
frontend.views.request.zero|Feedback to request 0 |Откликов по заявке 0|Feedback-uri la cerere 0
frontend.controllers.order.comment_added|Feedback was added|Комментарий добавлен|Feedback adăugat
Кисломолочные продукты|Fermented milk products|Кисломолочные продукты|Produse acidolactice
Фиджи|Fiji|Фиджи|Insulele Fiji
common.models.catalog_base.file|File size should not exceed 2 Mb|Размер файла не должен превышать 2 Мб|Mărimea fișierului nu trebuie să depășească 2 Mb
frontend.views.user.default.fill_fields|Fill in fields<br>to enter the system |Заполните поля<br>для входа в систему|Completați câmpurile<br>pentru a intra în sistem
frontend.views.vendor.fill_cat|Fill in your catalogue|Заполнить свой каталог|Completați catalogul Dvs.
frontend.views.vendor.in_the_end|Finally, indicate restaurants where you catalogue will be available.|И наконец, укажите рестораны, которым будет доступен ваш каталог.|În final, specificați restaurantele, care vor avea acces la catalogul dvs.
franchise.views.layouts.fin|Financial Accounting|Финансы|Finanțe
franchise.views.site.fin_anal|Financial analytics|Финансовая аналитика|Analiza financiară
frontend.views.client.suppliers.vendors_search|Find and add to our system of new suppliers|Находите и добавляйте в Вашу систему новых поставщиков|Găsiți și adăugați în sistemul Dvs. noi furnizori
frontend.views.client.dashboard.find|Find new suppliers|Найти новых|Găsiți furnizori noi
franchise.views.finance.know_fin|Find out your cash flow|Узнайте ваши денежные потоки|Verificați fluxul Dvs. de numerar
frontend.views.request.partners_list|Find reliable partners for your business|Находите честных партнеров для своего бизнеса|Găsiți parteneri fideli pentru afacerea lor
frontend.views.order.date_to|Finish date|Конечная дата|Data finală
Финляндия|Finland|Финляндия|Finlanda
пихтовое масло|Fir oil|Пихтовое масло|Ulei de brad
franchise.views.anal.first_orders|First orders|Первые заказы|Primele comenzi
franchise.views.organization.first_user|First user (manager)|Первый пользователь (Менеджер)|Primul utilizator (manager)
Рыба|Fish|Рыба|Pește
frontend.views.request.set_price|Fix price of services on this request|Установите цену услуги по данной заявке|Fixați prețul pentru serviciul la cererea dată
frontend.views.vendor.var6|Fixed discount|Фикс. скидка|Reducere fixă
franchise.views.finance.fix_part|Fixed part|Фиксированная часть|Partea fixă
frontend.views.vendor.fix_price|Fixed price|Фиксированная цена|Preț fix
franchise.views.site.flag|Flag|Флаг|Drapel
Лепешки|Flatbread|Лепешки|Turte
Мука, крахмал, дрожжи|Floor, starch, yeast|Мука, крахмал, дрожжи|Făină, amidon, drojdie
franchise.views.site.schema|Flow of funds and scheme of agents|Фин потоки и схема агентов|Fluxurile financiare și schema agenților
franchise.views.site.thread|Flow of funds and scheme of agents keynote|Фин поток и схема агентов keynote|Fluxurile financiare și schema agenților keynote
franchise.views.site.folder|Folder|Папка|Mapă
frontend.views.request.request_activity_two|Follow activity of request|Следите за активностью заявки|Monitorizați activitatea cererii
Пищевые добавки|Food additives|Пищевые добавки|Adaos alimentar
frontend.views.settings.if_you_wanna_two|For each email you add, you can select the events that notifications will be notified about.|Для каждого добавленного email вы можете выбрать события, о которых будут приходить уведомления.|Pentru fiecare e-mail pe care îl adăugați, puteți selecta evenimentele despre care vor veni notificări.
frontend.views.request.for_example_two|For example, you urgently need one product but it is not available at your suppliers… what to do? Place request for the required product and all suppliers of MixCart will see you! This is excellent possibility to find a Reliable partner for the long-term cooperation!|Например, вам срочно нужен какой-то товар, но у Ваших поставщиков его нет в наличии...что делать? Размещайте заявку на необходимый товар и вас увидят все поставщики системы MixCart! Это отличная возможность преобрести Честного партнера на долгосрочное сотрудничество!|De exemplu, aveți nevoie urgentă de un anumit produs, dar furnizorii dvs. nu îl au în stoc ... ce să faceți? Plasați o comandă pentru produsul necesar și veți vedea toți furnizorii sistemului MixCart! Aceasta este o oportunitate excelentă de a primi un partener cinstit pentru o cooperare pe termen lung!
franchise.views.site.franch|For franchise: Strategy Q4 2017|Для франчайзи: Стратегия Q4 2017|Pentru francizat: Strategia Q4 2017
frontend.views.site.for_rest_three|For restaurants|Ресторанам|Pentru restaurante
frontend.views.site.for_vendors_three|For suppliers|Поставщикам|Pentru furnizori
franchise.views.anal.for_current_month|For the current month|За текущий месяц|Pentru luna curentă
franchise.views.anal.for_all_time|For the whole period|За все время|Pentru toată perioada
frontend.views.user.forgot.forgot_two|Forgot your password|Забыли пароль|Ați uitat parola?
franchise.views.site.blank|Form|Бланк|Formular
market.views.site.search_prods.no_goods|Found Products |Товаров найдено: |Produse găsite:
frontend.views.site.brookwin|Founder: Brookwin.|Основатель: Brookwin.|Fondator: Brookwin
Франция|France|Франция|Franța
frontend.views.layouts.main.franchisee|Franchise|Франшиза|Franciză
common.models.settled_franchisee|Franchise appointed|Назначен Франшизы|Franciza desemnată
franchise.views.site.managers_settings|Franchise manager settings|Настройки менеджера франшизы|Setările managerului de franciză
market.views.site.supplier.free_delivery|Free delivery from|Бесплатная доставка от:|Livrare gratuită de la:
Французская Гвиана|French Guiana|Французская Гвиана|Guyana Franceză
Французские Южные территории|French Southern Territories|Французские Южные территории|Teritoriile franceze de Sud
Французская Полинезия|"French polynesia
"|Французская Полинезия|Polinezia Franceză
frontend.views.order.favorites.freq|Frequently ordered products|Часто заказываемые товары|Produse, frecvent comandate
Свежий хлеб|Fresh bread|Свежий хлеб|Pâine proaspătă
Речная рыба|Fresh-water fish|Речная рыба|Pește de apă dulce
frontend.views.vendor.fri|Fri|Пт|Vineri
Лягушки|Frogs|Лягушки|Broaște
common.mail.request_set_responsible.from_your|From your request|С вашей заявки|Din cererea Dvs.
Замороженный хлеб|Frozen bread|Замороженный хлеб|Pâine congelată
Замороженные фрукты|Frozen fruits|Замороженные фрукты|Fructe congelate
Замороженные овощи|Frozen vegetables|Замороженные овощи|Legume congelate
Фруктовое пюре и коктейльные миксы|Fruit purees and cocktail mixes|Фруктовое пюре и коктейльные миксы|Piure de fructe și amestecuri de cocktail-uri
Фрукты и ягоды|Fruits and berries|Фрукты и ягоды|Fructe și fructe de pădure
Масло фритюрное|Frying oil|Масло фритюрное|Ulei pentru prăjit
frontend.views.vendor.fio_two|Full name|ФИО|Nume, Prenume, Patronimic
Мебель|Furniture|Мебель|Mobilă
frontend.views.site.future_today|Future comes today!|Будущее уже сегодня!|Viitorul începe de azi!
Габон|Gabon|Габон|Gabon
Гамбия|Gambia|Гамбия|Gambia
Дичь|Game birds|Дичь|vânat cu pene
frontend.views.vendor.cust|General|Общие|General
frontend.views.client.tutorial.custom_info|General information|Общая информация|Informația generală
common.models.forming|Generating|Формируется|Generată
Грузия|Georgia|Грузия|Georgia
Германия|Germany|Германия|Germania
franchise.views.layouts.plug_in|Get into franchising on HoReCa automation with return in 3,100,000 RUB/year from 150,000 RUB in the city of residence|Подключись к франшизе по автоматизации HoReCa с прибылью 3 100 000 руб./год от 150 000 рублей в своем городе|Conectați-vă la franciza pentru automatizarea HoReCa cu un profit de 3 100 000 ruble / an de la 150 000 de ruble în orașul dvs.
market.controllers.site.you_vendor_two|Get over yourself, you are the supplier!|Опомнитесь, вы и есть поставщик!|Trezește-te! Tu însuți ești furnizor!
Гана|Ghana|Гана|Ghana
Гибралтар|Gibraltar|Гибралтар|Gibraltar
кунжутное масло|Gingili oil|Кунжутное масло|Ulei de susan
frontend.views.order.set_name_for_guide|Give name to your new template|Назовите ваш новый шаблон|Dați denumire noului șablon
frontend.views.request.enter_comment|Give your feedback on the request |Оставьте комментарий по заявке|Lăsați un feedback la cerere
Перчатки|Gloves|Перчатки|Mănuși
common.mail.franchisee_associate_added.go|Go to|Перейти|Treci la
frontend.views.site.choose_info|"Go to ""Analytics"" and choose the required information. You can filter data as per purchasers, days, months, suppliers and ordered products."|"Зайдите в раздел ""аналитика"" и выберите интересующую вас информацию. Вы можете фильтровать данные по закупщикам, дням, месяца, поставщикам и заказанным продуктам."|"Accesați secțiunea ""Analiză"" și selectați informațiile care vă interesează. Puteți filtra datele cu privire la cumpărători, zile, lună, furnizori și produse comandate."
frontend.views.site.see_anal|"Go to ""Analytics"". Here you can see analytics as per definite customer, supplied products or your managers. In such a way operation dynamics of your managers and customers will be transparent to you. "|"Перейдите в раздел ""аналитика"". Вы можете видеть аналитику по конкретному клиенту, по поставляемым продуктам или по вашим менеджерам. Таким образом вы сможете прозрачно понимать, динамику работы своих менеджеров и клиентов."|"Accesați secțiunea ""Analiză"". Puteți vedea analiza unui anumit client,a produselor livrate sau a managerilor dvs. Astfel, veți putea înțelege, în mod transparent dinamica lucrului managerilor și clienților dvs."
frontend.views.site.my_clients|"Go to ""My customers"" and invite your customer in system MixCart. Then you can regulate your prices for one or another customer in ""My catalogues"". "|"Перейдите в раздел ""мои клиенты"", пригласите ваших клиентов в систему MixCart. Далее вы сможете регулировать цены для тех или иных клиентов в разделе ""мои каталоги""."|"Accesați secțiunea ""Clienții mei"", invitați clienții dvs. la sistemul MixCart. Apoi, veți putea ajusta prețurile pentru anumiți clienți în secțiunea ""Cataloagele mele""."
frontend.views.site.add_cat_two|"Go to ""My suppliers"" and choose ""Add a Supplier"" in the menu, load the available catalogue of the supplier. The Supplier will receive notification and confirm that this catalogue and prices are pursuant to agreed data. "|"Зайдите в раздел ""мои поставщики"", выберите пункт меню ""добавить поставщика"", загрузите каталог поставщика, тот, что у вас есть. Поставщику придет уведомление и он подтвердит, то, что данный каталог, и цены соответствуют вашим договоренностям."|"Accesați secțiunea ""furnizorii mei"", selectați elementul de meniu ""adaugă furnizor"", încărcați catalogul furnizorului, pe care îl aveți. 
Furnizorul va fi anunțat și va confirma faptul, că catalogul dat și prețurile corespund condițiilor agreate de voi.
"
common.mail.request_new_callback.go_to_request|Go to request|Перейти к заявке|Treceți la cerere
franchise.views.organization.go_to_two|Go to the Company’s online area under your personal account|Перейти в ЛК организации под своей учеткой|Accesați zona online a Companiei de pe contul personal
common.mail.welcome.good_luck|Good luck in business!|Желаю Вам успехов в бизнесе|Succese în afacerea Dvs.
api.common.mail.confirm_email.good_luck|Good luck in business.|Желаю Вам успехов в бизнесе.|Succese în afacerea Dvs.
Гусь|Goose|Гусь|Gânsac
Виноград|Grape|Виноград|Poamă
из виноградных косточек|Grape seed oil|Из виноградных косточек|"Ulei din semințe de struguri
"
Греция|Greece|Греция|Grecia
Гренландия|Greenland|Гренландия|Groenlanda
Гренада|Grenada|Гренада|Grenada
Бакалея|Grocery|Бакалея|Băcănie
Гваделупа|Guadeloupe|Гваделупа|Guadelupa
Гуам|Guam|Гуам|Guam
Гватемала|Guatemala|Гватемала|Guatemala
Гернси|Guernsey|Гернси|Insula Guernsey
api.common.models.directory|Guide|Справочник|Ghid
Гвинея|Guinea|Гвинея|Guineea
Гвинея-Бисау|Guinea-Bissau|Гвинея-Бисау|Guineea-Bissau
Гайана|Haiana|Гайана|Guyana
Гаити|Haiti|Гаити|Haiti
frontend.views.user.default.registered|Have you already registered?|Уже зарегистрированы?|V-ați înregistrat deja?
frontend.views.site.find_error|Have you found an error? Help us to become better|Нашли ошибку? Помогите нам стать лучше|Ați găsit o eroare? Ajutați-ne să devenim mai buni
Руководитель|Head|Руководитель|Administrator
Головные уборы|Headwear|Головные уборы|Articole pentru acoperirea capului
Остров Херд и острова Макдональд|Heard Island and McDonald Islands|Остров Херд и острова Макдональд|Insula Heard și insulele Mcdonald
api.common.mail.confirm_email.hello|Hello,|Здравствуйте,|Salut,
конопляное масло|Hemp oil|Конопляное масло|Ulei de cânepă
Зелень|Herbs|Зелень|Verdeață
franchise.views.site.high|High (system is not in operation)|Высокий (Система не работает)|Înalt (Sistemul nu funcționează)
frontend.views.order.history|History of orders:|История заказов|Istoria comenzilor
Гондурас|Honduras|Гондурас|Honduras
Мед|Honey|Мед|Miere
Гонконг|Hong Kong|Гонконг|Hong kong
Табак для кальяна|Hookah tobacco|Табак для кальяна|Tutun pentru narghilea
Конина|Horse meat|Конина|Carne de cal
Горячий шоколад|Hot chocolate|Горячий шоколад|Ciocolată fierbinte
Промышленная химия|Household chemicals|Промышленная химия|Produse chimice de uz casnic
Хозяйственные товары|Household goods|Хозяйственные товары|Mărfuri de uz casnic
frontend.views.site.invite_clients|How can I add the customers that I work with?|Как мне подключить своих, уже существующих клиентов?|Cum îmi pot conecta clienții existenți?
frontend.views.site.self_info|How can I configure my account and fill in my information?|Как мне настроить свой аккаунт и внести информацию о себе?|Cum îmi pot configura contul și introduce informații despre mine?
frontend.views.site.new_clients|How can I find new customers in MixCart?|Как мне найти новых клиентов в MixCart?|Cum pot găsi noi clienți în MixCart?
frontend.views.site.hide_prices|How can I place my products in the Market place but hide prices?|Как разместить свои продукты на маркет плейсе, но скрыть цены?|Cum să plasez produsele pe Market Place, dar să ascund prețurile?
frontend.views.site.whole_analytics|How can I see analytics for all orders?|Как посмотреть аналитику всех заказов?|Cum pot vedea analiza tuturor comenzilor?
frontend.views.site.invite_vendors|How can you invite your suppliers to MixCart?|Как пригласить своих поставщиков в MixCart?|Cum să-mi invit furnizorii în Mixcart?
common.mail.accept_vendor_invite.hello|How do you do|Здравствуйте|Salut,
common.mail.friend_invite.hello|How do you do!|Здравствуйте!|Bună ziua!
frontend.views.site.how_it_works|How does it work|"КАК MIXCART
СПОСОБСТВУЕТ УСПЕХУ"|CUM FUNCȚIONEAZĂ MIXCART
frontend.views.request.how_often_two|How often?|Как часто?|Cât de des?
frontend.views.site.add_cat|How to add my supplier to MixCart?|Как добавить каталог моего поставщика в MixCart?|Cum să descarc catalogul furnizorului meu pe Mixcart?
frontend.views.client.tutorial.how_to|How to start working in MixCart, or  Catalogue of Suppliers Loading|Как начать работать в системе MixCart, или Загрузка каталогов поставщиков|Lucrul în sistemul Mixcart, sau descărcarea cataloagelor furnizorilor
Венгрия|Hungary|Венгрия|Ungaria
frontend.views.user.default.i_buy.|I buy|Я покупаю|Eu achiziționez
frontend.views.site.thanks|I express my gratitude to MixCart for making our work much more easier. I recommend|Выражаю благодарность MixCart, за то, что упростили нашу работу в несколько раз. Рекомендую.|Îmi exprim recunoștința față de MixCart, pentru simplificarea muncii noastre. Vă recomand.
frontend.views.site.different_prices|I have different prices for different customers. What can I do?|Для разных клиентов у меня разные цены, как быть с этим?|Pentru diferiți clienți am prețuri diferite, cum procedez?
common.mail.accept_vendor_invite.i_invite|I invited you, {org}, to join and start using this service. Application of this tool will make our work easier.|Я приглашаю Вас присоединиться и начать использовать данный сервис. Использование этого инструмента значительно упростит нашу с вами работу|Vă invit să vă alăturați și să începeți să utilizați acest serviciu. Utilizarea acestui instrument va simplifica foarte mult munca noastră comună.
frontend.views.site.good_luck|I own some establishments. At first, we implemented MixCart in Garazh and then in the rest. It works, we use it and wish your success in company development.|Я владею несколькими заведениями. Сначала мы внедрили MixCart в гараж, а далее во все заведения. Это работает, мы пользуемся и желаем удачи в развитии компании MixCart.|"Dețin mai multe instituții. Mai întâi am introdus platforma MixCart în cafeneaua ""Garazh"" și apoi la toate localurile. Funcționează, îl folosim și urăm succese mari în dezvoltarea ulterioară MixCart."
frontend.views.user.default.i_sell|I sell |Я продаю|Eu vând
franchise.views.finance.me_mix_three|I'm MixCart'у|Я MixCart'у|Sunt din Mixcart
franchise.views.site.me_to_mix|I'm MixCart'у:|Я MixCart'у:|Sunt din Mixcart:
frontend.views.site.big_rest|I'm a director of two major restaurants. The high level of services and performance optimization are highly important for us. MixCart offers solution for full range of matters related to purchases. This provides transparency and efficiency.   |Я управляю двумя крупными ресторанами, нам важен высокий уровень как сервиса, так и оптимизации внутренних процессов. MixCart, решает весь спектр задач, связанных с закупками. Прозрачность и скорость обеспечены.|Administrez două restaurante mari, avem nevoie de un nivel ridicat de servicii și de optimizare a proceselor interne. MixCart rezolvă întreaga gamă de sarcini legate de achiziții. Transparența și viteza sunt garantate.
common.models.franch_id|ID franchise|ID франши|ID al francizei
franchise.views.organization.inn_two|INN|ИНН:|Cod fiscal:
Мороженое|Ice-cream|Мороженое|Înghețată
Мороженое и сорбеты|Ice-cream and sorbets|Мороженое и сорбеты|Înghețată și sorbeturi
Исландия|Iceland|Исландия|Islanda
common.models.avatar|Icon|Аватар|Avatar
frontend.controllers.settings.avatar|Icon is changed!|Аватар изменен!|Avatar modificat!
common.models.managers_avatar|Icon manager|Аватар менеджера|Avatar-ul managerului
frontend.views.site.several_vendors|If several suppliers participate in one order at the same time and at that some of them have minimum order quantity less than the total amount of the order, MixCart will inform you and suggest a sum you need to increase your order to achieve minimal quantity.|Если в заказе одновременно участвуют несколько поставщиков, при этом у некоторых из них порог минимального заказа ниже, чем сумма заказа, MixCart сообщит вам об этом, и подскажет на какую сумму нужно дозаказать, что бы был достигнут минимальный порог.|În cazul în care mai mulți furnizori participă la comandă în același timp, în timp ce unii dintre ei au un prag minim de comandă mai mic decât suma comenzii, MixCart vă va informa despre acest lucru și vă va anunța suma pentru care urmează să comandați produse pentru a atinge pragul minim.
frontend.views.site.vendors_fault|If the order has not been delivered by the fault of the supplier, you can give supplier negative rating and leave honest feedback about his work and this incident. |Если заказ не был доставлен по вине поставщика, вы можете поставить негативную оценку поставщику и оставить честный отзыв о его работе и данном инциденте.|În cazul în care comanda nu a fost livrată din vina furnizorului, puteți evalua negativ furnizorul și puteți lăsa un feedback sincer despre activitatea sa și despre acest incident.
market.views.site.main.wrong_city|If we mislocate your city, please find it on your own|Если мы неверно определили Ваш город, пожалуйста, найдите его самостоятельно|Dacă am identificat greșit orașul Dvs., vă rugăm să-l găsiți singur!
market.views.site.rest.if_vendor|If you are supplier, offer your services to the restaurant|Если вы поставщик, предложите ресторану свои услуги|Dacă sunteți un furnizor, oferiți restaurantului serviciile Dvs.
frontend.views.site.error_two|If you consider there was an error in the application, please contact us|Если вы считаете, что это ошибка приложения, пожалуйста, свяжитесь с нами.|Dacă credeți că aceasta este o eroare a aplicației, vă rugăm să ne contactați.
franchise.mail.layouts.html.dont_wanna|If you don’t want to receive notifications you can unsubscribe from this list clicking here.|Если вы больше не хотите получать уведомления, вы можете отписаться от получения рассылок перейдя по этой ссылке.|Dacă nu mai doriți să primiți notificări, vă puteți dezabona de la primirea buletinelor de știri, accesând acest link.
frontend.views.site.marketplace|If you just opened a restaurant and you did not find a supplier you can easily find an appropriate supplier here.<br/>Go to Market place and select appropriate suppliers. |Если вы недавно открыли ресторан и поставщиков у вас пока еще нет, вы легко можете подобрать подходящих поставщиков.<br/>Зайдите в раздел Market place и выберите подходящих вам поставщиков.|Dacă ați deschis recent un restaurant și încă nu aveți furnizori, puteți găsi cu ușurință furnizorii potriviți. <br/> Accesați Marketplace și selectați furnizorii doriți.
frontend.views.settings.if_you_wanna|If you want to add one more email to receive notifications without setting up a new one|Если вы хотите добавить еще один email для получения уведомлений без заведения нового сотрудника, то вы можете сделать это в таблице ниже.|Dacă doriți să adăugați încă un e-mail pentru a primi notificări fără a crea un nou angajat, puteți face acest lucru în tabelul de mai jos.
franchise.mail.layouts.html.if_you_wanna|If you want to change notification settings please log in and come to section “Settings/Mails” and switch off receipt of undesired mails.|"Если вы хотите изменить настройки уведомлений, авторизуйтесь на сайте, зайдите в раздел ""Настройки/Почтовые уведомления"" и отключите получение нежелательных рассылок."|"Dacă doriți să schimbați setările de notificare, conectați-vă la site, accesați secțiunea ""Setări / notificări prin e-mail"" și dezactivați primirea e-mailurilor nedorite."
frontend.views.vendor.import_three|Import|Импорт|Import
frontend.views.vendor.file_import|Import from the file|Импорт из файла|Import din fișier
franchise.views.site.catalog.goods_import|Import of products|Импорт товаров|Importul mărfii
common.models.import_type|Import type|Тип импорта|Tip de import
frontend.views.order.favorites.in_basket|In Cart|В корзину|În coș
common.mail.accept_vendor_invite.abilities|In MixCart there are ample opportunities for restaurants and suppliers. Below you will find a few words in this regard.|В MixCart очень широкие возможности для ресторанов, о некоторых из них несколько слов ниже|În MixCart există oportunități foarte largi pentru restaurante, despre câteva din ele - pe scurt, mai jos
frontend.views.site.all_vendors|In MixCart you can see all suppliers and select those who meet your requirements.|В MixCart, вы можете видеть всех поставщиков, и выбрать для себя тех, кто соответствует вашим критериям.|În MixCart, puteți vedea toți furnizorii și alege pentru dvs. pe cei, care îndeplinesc criteriile dvs.
frontend.views.site.bad_client|In case of the unfaithfulness of your customer, we recommend to give such customer the relative rating and leave a feedback.|В случае неблагонадежности вашего клиента мы рекомендуем вам поставить оценку и оставить отзыв о данном клиенте.|În cazul nesiguranței în clientul dvs., vă recomandăm să-l evaluați și să lăsați un feedback despre acest client.
frontend.views.vendor.create_first|In order to continue working with our system please create your first catalogue.|Для того, чтобы продолжить работу с нашей системой, создайте ваш первый каталог.|Pentru a continua să lucrați cu sistemul nostru, creați primul catalog.
frontend.views.site.simple_steps|In order to start working in MixCart right now, you need to do several simple questions. |Для того, что бы начать работать прямо сейчас в MixCart, вам нужно сделать несколько простых шагов.|Pentru a începe să lucrați acum în MixCart, trebuie să întreprindeți câțiva pași simpli.
frontend.views.order.in_process_two|In progress|Выполняется|În progres
frontend.views.site.1c_future|In the nearest future, we will develop data integration tool with 1C and data exchange through API. |В ближайшем будущем мы разработаем механизмы интеграции с 1С, а так же будет возможность обмена данными через API.|În viitorul apropiat, vom dezvolta mecanisme de integrare cu 1C, precum și oportunitatea de a face schimb de date prin API.
frontend.views.site.future|In the nearest future, we will develop data integration tool with the popular software on restaurant management. |В ближайшем будущем мы разработаем механизмы интеграции с распространенным программным обеспечением по управлению ресторана.|În viitorul apropiat, vom dezvolta mecanisme de integrare cu software-ul extins pentru managementul restaurantelor.
frontend.views.site.diff_catalogs|"In the section ""My catalogues"" you can create any number of different catalogues. You can create catalogues according to any rules, reduce or increase the prices, make them fixed or connected to percentages.  "|"В разделе ""мои каталоги"", вы можете создать любое количество разных каталогов. Вы можете создавать каталоги по любым правилам, опускать цены фиксировано, поднимать, или привязывая к процентам. Далее любого своего клиента с любым каталогом."|"În secțiunea ""cataloagele mele"", puteți crea orice număr de cataloage diferite. Puteți crea cataloage în baza oricăror reguli, puteți coborî sau ridica prețurile fixate,  sau, puteți adăuga dobândă. Pentru orice client poate fi creat propriul catalog."
frontend.views.site.actual|In this section we tried to answer the most topical questions, if you haven't found an answer to your question, please contact us. |В этом разделе, мы постарались ответить на самые актуальные вопросы, если вы не нашли ответ на свой вопрос, свяжитесь с нами, пожалуйста.|În această secțiune, am încercat să răspundem la cele mai actuale întrebări, dacă nu ați găsit răspunsul la întrebarea dvs., vă rugăm să ne contactați.
Inactive|Inactive|Не активен|Nu este activ
frontend.controllers.order.uncorrect_date|Incorrect data|Некорректная дата|Dată incorectă
common.models.index|Index|Индекс|Cod poștal
Индия|India|Индия|India
Укажите, Вы покупаете или продаете?|Indicate whether you are buying or selling?|Укажите, Вы покупаете или продаете?|Specificați, Dvs. vindeți sau cumpărați?
frontend.views.vendor.var4|Individual price|Индивидуальная цена|Preț individual
Индонезия|Indonesia|Индонезия|Indonezia
frontend.views.vendor.org_info_two|Information about company|Информация об организации|Informația despre companie
frontend.views.settings.my_info|Information about me|Информация обо мне|Informația despre mine
franchise.views.organization.new_info_two|Information about new customer|Информация о новом клиенте|Informație despre noul client
Instructions to reset your password have been sent|Instructions to reset your password have been sent|Вам выслана иснтрукция по восстановлению пароля|Instrucțiunea de recuperare a parolei a fost expediată la adresa dvs. de email
frontend.views.site.integration|Integration with 1C, iiko, r-keeper|Интеграция с 1С, iiko, r-keeper|Integrarea cu 1C, iiko, r-keeper
frontend.views.layouts.client.left.integrations|Integrations|Интеграции|Integrări
Интерьер|Interior|Интерьер|Interior
Интерьер и мебель|Interior and furniture|Интерьер и мебель|Interior și mobilă
Декор интерьера|Interior decoration|Декор интерьера|Decorul interior
franchise.views.site.integration|Interoperability|Интеграция с внешними системами|Integrarea cu sisteme externe
franchise.views.site.integration_two|Interoperability keynote|Интеграция с внешними системами keynote|Integrarea cu sisteme externe  keynote
api.modules.v1.modules.mobile.controllers.wrong_code|Invalid code|Неверный код|Cod nevalid
frontend.views.layouts.header.var4|Invalid email!|Некорректный email!|Email greșit!
frontend.views.request.wrong_format|Invalid format! Example: 1220, 1220.30|Неверный формат! Пример: 1220 , 1220.30|Format greșit! Exemplu: 1220 , 1220.30
common.models.incorrect_number|Invalid number|Некорректный номер|Număr nevalid
Неверный товар|Invalid product|Неверный товар|Produs nevalid
frontend.controllers.vendor.wrong_curr|Invalid rate of exchange!|Некорректный курс!|Curs incorect!
Инвестор|Investor|Инвестор|Investitor
common.mail.request_invite_supp.date|Invitation date|Дата приглашения|Data de invitație
frontend.views.layouts.header.var1|Invitation in MixCart|Приглашение на MixCart|Invitație în MixCart
frontend.views.request.inv_sent|Invitation is sent!|Приглашение отправлено!|Invitația expediată!
frontend.views.client.suppliers.sent|Invitation<br>was sent|Приглашение<br>отправлено|Invitație<br>expediată
frontend.views.client.supp.invite|Invite|Пригласить|Invită
frontend.views.client.add.invite_vendor|Invite Supplier|Пригласить поставщика|Invită furnizorul
frontend.views.vendor.invite_client|Invite customer|Пригласить клиента|Invită clientul
frontend.views.layouts.left.invite_partners|Invite partners and friends|Пригласите партнеров и друзей|Invită partenerii de afaceri și prietenii
frontend.views.client.supp.inviting|Inviting….|Приглашаем...|Invităm...
Номер выставленного счета|Invoice number|Номер выставленного счета|Numărul facturii
Иран, Исламская Республика|Iran, Islamic Republic|Иран, Исламская Республика|Iran, Republica Islamică
Ирак|Iraq|Ирак|Irak
Ирландия|Ireland|Ирландия|Irlanda
frontend.views.request.postponement_two|Is deferred payment preferable?|Желаемая отсрочка платежа?|Dorința de amânare a plății?
frontend.views.site.limits|Is it possible to limit purchases?|Возможно ли выставлять лимиты на закупку?|Este posibil să se stabilească o limită la achiziție?
Остров Мэн|Isle Of Man|Остров Мэн|Insula Man
Израиль|Israel|Израиль|Israel
franchise.views.finance.settle_bill|Issue invoice|Выставить счет|Emiteți o factură
frontend.views.site.its_simple|"It is very simple. Go to ""My suppliers"", click ""invite supplier"" and enter contact data from your supplier. Your invitation will come to the email of your supplier. <br/>If the supplier has not been registered when you sent him an invitation, he will be registered automatically. "|"Все очень просто. Вы зайдите в раздел ""мои поставщики"", кликнете на ""пригласить поставщика"" и вводите контактные данные своего поставщика. На e-mail поставщику придет приглашение от вас. <br/>Если в момент отправки приглашения, поставщик еще не был зарегистрирован в системе, то он будет зарегистрирован автоматически."|"Este foarte simplu. Accesați secțiunea ""Furnizorii mei"", faceți clic pe ""Invitați furnizorul"" și introduceți datele de contact ale furnizorului dvs. Furnizorul va primi o invitație pe email de la dvs. <br/> Dacă în momentul trimiterii invitației furnizorul nu a fost încă înregistrat în sistem, acesta va fi înregistrat automat."
frontend.views.request.will_delete_two|It will be taken off|Будет снята|Va fi scos
Италия|Italy|Италия|Italia
Товар добавлен!|Item added!|Товар добавлен!|marfa adăugată!
Товар обновлен!|Item has been updated!|Товар обновлен!|Marfa adăugată!
api.modules.v1.modules.mobile.components.notifications.deleted_position|Item in order No. has been deleted|Удалена позиция в заказе №|Eliminat itemul în comanda Nr.
frontend.views.order.var5|Item is deleting from order|Удаление позиции из заказа|Ștergerea itemului din comandă
frontend.views.client.anal.positions|Items|Позиций|Itemi
Кот д`Ивуар|Ivory Coast|Кот д`Ивуар|Coasta de Fildeș
